ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	code	status
https://id.biodiversity.org.au/name/lichen/30020925	species	Amandinea extenuata (Müll.Arg.) Marbach		Amandinea	extenuata		(Müll.Arg.) Marbach	botanical	
https://id.biodiversity.org.au/name/lichen/30230645	species	Amandinea feraxioides Elix & Kantvilas		Amandinea	feraxioides		Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30176112	species	Amandinea fuscoatratula (Zahlbr.) Elix		Amandinea	fuscoatratula		(Zahlbr.) Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30230653	species	Amandinea hnatiukii Elix		Amandinea	hnatiukii		Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30241201	species	Amandinea hypohyalina Elix & P.M.McCarthy		Amandinea	hypohyalina		Elix & P.M.McCarthy	botanical	
https://id.biodiversity.org.au/name/lichen/30022637	species	Amandinea insperata (Nyl.) H.Mayrhofer & Ropin		Amandinea	insperata		(Nyl.) H.Mayrhofer & Ropin	botanical	
https://id.biodiversity.org.au/name/lichen/30016390	species	Amandinea isabellina (Hue) Søchting & Øvstedal		Amandinea	isabellina		(Hue) Søchting & Øvstedal	botanical	
https://id.biodiversity.org.au/name/lichen/30176415	species	Amandinea julianeae H.Mayrhofer & Elix		Amandinea	julianeae		H.Mayrhofer & Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30020913	species	Amandinea lecideina (H.Mayrhofer & Poelt) Scheid. & H.Mayrhofer		Amandinea	lecideina		(H.Mayrhofer & Poelt) Scheid. & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30016392	species	Amandinea lignicola Tønsberg & A.Nordin		Amandinea	lignicola		Tønsberg & A.Nordin	botanical	
https://id.biodiversity.org.au/name/lichen/30016391	variety	Amandinea lignicola var. australis Elix & Kantvilas		Amandinea	lignicola	australis	Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30176713	species	Amandinea litoralis (Zahlbr.) H.Mayrhofer & Elix		Amandinea	litoralis		(Zahlbr.) H.Mayrhofer & Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30016393	species	Amandinea montana (H.Magn.) Marbach		Amandinea	montana		(H.Magn.) Marbach	botanical	
https://id.biodiversity.org.au/name/lichen/30241210	species	Amandinea mountmeensis Elix & H.Mayrhofer		Amandinea	mountmeensis		Elix & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30241218	species	Amandinea nana Elix & P.M.McCarthy		Amandinea	nana		Elix & P.M.McCarthy	botanical	
https://id.biodiversity.org.au/name/lichen/30177014	species	Amandinea nebulosa (Elix & Kantvilas) Elix & Kantvilas		Amandinea	nebulosa		(Elix & Kantvilas) Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30230661	species	Amandinea neoconglomerata Elix		Amandinea	neoconglomerata		Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30177503	species	Amandinea nitrophila (Zahlbr.) Elix		Amandinea	nitrophila		(Zahlbr.) Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30016394	species	Amandinea occidentalis Elix & Kantvilas		Amandinea	occidentalis		Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30016395	species	Amandinea otagoensis (Zahlbr.) Blaha & H.Mayrhofer		Amandinea	otagoensis		(Zahlbr.) Blaha & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30016396	species	Amandinea pelidna (Ach.) Fryday & Arcadia		Amandinea	pelidna		(Ach.) Fryday & Arcadia	botanical	
https://id.biodiversity.org.au/name/lichen/30016397	species	Amandinea petermannii (Hue) Matzer, H.Mayrhofer & Scheid.		Amandinea	petermannii		(Hue) Matzer, H.Mayrhofer & Scheid.	botanical	
https://id.biodiversity.org.au/name/lichen/30016398	species	Amandinea pillagaensis Elix & Kantvilas		Amandinea	pillagaensis		Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30178401	species	Amandinea prospersa (Nyl.) Elix & H.Mayrhofer		Amandinea	prospersa		(Nyl.) Elix & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30178713	species	Amandinea prothallinata Elix & H.Mayrhofer		Amandinea	prothallinata		Elix & H.Mayrhofer	botanical	
https://id.biodiversity.org.au/name/lichen/30016399	species	Amandinea punctata (Hoffm.) Coppins & Scheid.		Amandinea	punctata		(Hoffm.) Coppins & Scheid.	botanical	
https://id.biodiversity.org.au/name/lichen/30179023	species	Amandinea ropinii H.Mayrhofer & Elix		Amandinea	ropinii		H.Mayrhofer & Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30016400	species	Amandinea stajsicii Elix & Kantvilas		Amandinea	stajsicii		Elix & Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30231223	species	Amandinea subcervina (Nyl.) Elix		Amandinea	subcervina		(Nyl.) Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30016401	species	Amandinea subduplicata (Vain.) Marbach		Amandinea	subduplicata		(Vain.) Marbach	botanical	
https://id.biodiversity.org.au/name/lichen/30016402	species	Amandinea subplicata (Nyl.) Øvstedal		Amandinea	subplicata		(Nyl.) Øvstedal	botanical	
