ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	nomenclaturalCode	status	code
https://id.biodiversity.org.au/name/fungi/60017650	species	Acrospeira fluctuata Tandon & Bilgrami		Acrospeira	fluctuata		Tandon & Bilgrami	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60074583	species	Acrospeira levis Wiltshire		Acrospeira	levis		Wiltshire	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013331	family	Acrospermaceae	Acrospermaceae					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013169	order	Acrospermales	Acrospermales					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013867	genus	Acrospermum Tode	Acrospermum				Tode	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60017421	species	Acrospermum gaubae Petr.		Acrospermum	gaubae		Petr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015857	genus	Acrosporium Bonord.	Acrosporium				Bonord.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018549	species	Acrosporium cerasi Rabenh.		Acrosporium	cerasi		Rabenh.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60019317	species	Acrosporium monilioides Nees		Acrosporium	monilioides		Nees	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015858	genus	Acrostalagmus Corda	Acrostalagmus				Corda	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020575	species	Acrostalagmus fungicola Preuss		Acrostalagmus	fungicola		Preuss	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015859	genus	Acrothecium (Corda) Preuss	Acrothecium				(Corda) Preuss	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018822	species	Acrothecium floccosum Harz		Acrothecium	floccosum		Harz	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018279	species	Acrothecium lunatum Wakker		Acrothecium	lunatum		Wakker	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018349	species	Acrothecium penniseti Mitra		Acrothecium	penniseti		Mitra	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60021498	species	Acrothecium recurvatum Morgan		Acrothecium	recurvatum		Morgan	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013934	genus	Actinomma Sacc.	Actinomma				Sacc.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60017683	species	Actinomma gastonis Sacc.		Actinomma	gastonis		Sacc.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013850	genus	Actinomyxa Syd. & P.Syd.	Actinomyxa				Syd. & P.Syd.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60017373	species	Actinomyxa australiensis Syd. & P.Syd.		Actinomyxa	australiensis		Syd. & P.Syd.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015860	genus	Actinonema Fr.	Actinonema				Fr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60019386	species	Actinonema rosae (Lib.) Fr.		Actinonema	rosae		(Lib.) Fr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015861	genus	Actinostroma Klotzsch	Actinostroma				Klotzsch	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60028265	species	Actinostroma infundibuliforme Klotzsch		Actinostroma	infundibuliforme		Klotzsch	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60014145	genus	Actinothecium Ces.	Actinothecium				Ces.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018878	species	Actinothecium scortechinii Sacc. & Berl.		Actinothecium	scortechinii		Sacc. & Berl.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60014146	genus	Acumispora Matsush.	Acumispora				Matsush.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018879	species	Acumispora biseptata Matsush.		Acumispora	biseptata		Matsush.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018880	species	Acumispora phragmospora Matsush.		Acumispora	phragmospora		Matsush.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018881	species	Acumispora uniseptata Matsush.		Acumispora	uniseptata		Matsush.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015862	genus	Acurtis Fr.	Acurtis				Fr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60033072	species	Acurtis sericea		Acurtis	sericea			botanical		botanical
https://id.biodiversity.org.au/name/fungi/60033167	subspecies	Acurtis sericea subsp. antarctica Singer		Acurtis	sericea	antarctica	Singer	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013375	family	Adelococcaceae	Adelococcaceae					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60014759	genus	Adomia S.Schatz	Adomia				S.Schatz	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020946	species	Adomia avicenniae S.Schatz		Adomia	avicenniae		S.Schatz	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015619	genus	Aecidium Pers.	Aecidium				Pers.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031144	species	Aecidium acanthocarpi J.Walker & M.M.van der Merwe		Aecidium	acanthocarpi		J.Walker & M.M.van der Merwe	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031145	species	Aecidium alchorneae-rugosae Gjaerum & D.A.Reid		Aecidium	alchorneae-rugosae		Gjaerum & D.A.Reid	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031146	species	Aecidium baileyanum Syd. & P.Syd.		Aecidium	baileyanum		Syd. & P.Syd.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031147	species	Aecidium barbareae DC.		Aecidium	barbareae		DC.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031159	species	Aecidium bossiaeae Henn.		Aecidium	bossiaeae		Henn.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031149	species	Aecidium brachycomes Petr.		Aecidium	brachycomes		Petr.	botanical		botanical
